4.26209,4.34226,4.37713,4.41027,4.44031,4.46729,4.51304,4.5477,4.57218,4.58849,4.59941,4.60561,4.60749,4.60563,4.60172,4.59713,4.59151,4.58411,4.57483,4.56663,4.56299,4.56256,4.5608,4.55743,4.55264,4.55113,4.54979,4.54961,4.54947,4.54945,4.54945,4.54945
4.95553,5.0453,5.08222,5.11651,5.14608,5.17104,5.20869,5.23002,5.23676,5.23227,5.22104,5.20419,5.18227,5.15613,5.12758,5.0982,5.06762,5.03489,4.99978,4.96504,4.93437,4.92087,4.90743,4.89679,4.88715,4.88471,4.88262,4.88236,4.88218,4.88215,4.88212,4.88209
5.46371,5.55668,5.59274,5.62538,5.65192,5.67254,5.69824,5.70354,5.69108,5.66565,5.63339,5.59593,5.554,5.50873,5.462,5.41546,5.36858,5.31993,5.26878,5.21806,5.17186,5.15098,5.13059,5.11497,5.10088,5.09746,5.09463,5.09429,5.09402,5.094,5.09398,5.09393
6.1846,6.29249,6.32443,6.34969,6.36325,6.36666,6.3531,6.32015,6.27194,6.21268,6.14758,6.07828,6.00579,5.93164,5.85697,5.78329,5.71101,5.64051,5.57202,5.50515,5.44113,5.41156,5.38334,5.36207,5.34099,5.33599,5.33202,5.3315,5.33112,5.33107,5.33102,5.33101
6.70978,6.78935,6.81095,6.82696,6.83298,6.82947,6.79838,6.73721,6.65204,6.55259,6.45034,6.34851,6.24805,6.15077,6.0577,5.96993,5.88636,5.8036,5.71946,5.63817,5.56571,5.53337,5.50116,5.47531,5.45011,5.44405,5.4392,5.43859,5.43809,5.43805,5.438,5.438
7.10958,7.17576,7.18775,7.1934,7.18777,7.17148,7.11238,7.02068,6.90399,6.77386,6.6437,6.51717,6.39526,6.27964,6.17074,6.06914,5.97353,5.8799,5.78572,5.69585,5.61711,5.58243,5.54762,5.51918,5.49107,5.48427,5.47881,5.47814,5.47757,5.47751,5.47746,5.47747
7.43353,7.48448,7.48636,7.48136,7.46411,7.43536,7.34959,7.22968,7.08454,6.92722,6.77271,6.6249,6.48479,6.35368,6.23149,6.11815,6.0122,5.90929,5.80667,5.70974,5.62603,5.58962,5.55288,5.52258,5.49255,5.48525,5.47937,5.47865,5.47805,5.47799,5.47793,5.47794
7.9134,7.98653,7.97359,7.94719,7.89748,7.82911,7.66352,7.48224,7.29437,7.10573,6.92288,6.7476,6.58078,6.42332,6.27504,6.13596,6.00642,5.88583,5.77368,5.66986,5.57648,5.53513,5.49522,5.46394,5.43137,5.42349,5.41722,5.41638,5.41578,5.41571,5.41565,5.41563
8.29422,8.33998,8.3077,8.26091,8.18903,8.09734,7.88467,7.65845,7.42926,7.20429,6.99119,6.79045,6.60095,6.422,6.25448,6.09869,5.95465,5.82085,5.69637,5.58257,5.482,5.43735,5.39469,5.36197,5.32858,5.32048,5.31404,5.31319,5.31257,5.31249,5.31242,5.31242
8.96772,8.9422,8.86473,8.77153,8.6513,8.5104,8.2019,7.8878,7.58052,7.28867,7.02088,6.77406,6.54341,6.32449,6.12076,5.93292,5.76025,5.59952,5.44905,5.31319,5.19493,5.14132,5.09137,5.0554,5.02164,5.01351,5.0071,5.00628,5.00568,5.0056,5.00552,5.00552
9.47579,9.28791,9.15905,9.0236,8.87657,8.71935,8.38331,8.02625,7.66189,7.30757,6.98095,6.68431,6.41771,6.17626,5.95597,5.75047,5.55875,5.37856,5.20847,5.05042,4.90957,4.84804,4.79175,4.7522,4.71811,4.71099,4.70444,4.70353,4.70298,4.70294,4.70287,4.70287
10.1111,9.77946,9.58027,9.3774,9.16816,8.9537,8.5159,8.07326,7.63783,7.22443,6.84544,6.50409,6.1982,5.92083,5.66677,5.42864,5.2044,4.99171,4.78922,4.59896,4.42641,4.34963,4.27966,4.23184,4.19564,4.18993,4.18354,4.18246,4.18193,4.18195,4.18177,4.18189
10.461,10.1438,9.90325,9.64942,9.3736,9.08485,8.51364,7.98861,7.51454,7.08807,6.70281,6.35287,6.02856,5.72005,5.43207,5.16556,4.91652,4.68027,4.45441,4.24426,4.05038,3.95763,3.87446,3.82121,3.78256,3.77434,3.76828,3.76758,3.76704,3.76694,3.76692,3.76692
10.9377,10.2939,9.96385,9.64156,9.33302,9.03708,8.47547,7.95328,7.46781,7.01661,6.59715,6.20977,5.8549,5.52564,5.22047,4.93788,4.67427,4.4289,4.19875,3.97372,3.7481,3.64104,3.54884,3.49195,3.44717,3.44115,3.43342,3.43223,3.43186,3.43173,3.43194,3.43177
11.1486,10.4337,10.0702,9.71637,9.37959,9.05828,8.45224,7.89392,7.3794,6.90425,6.4666,6.06616,5.7013,5.36378,5.05004,4.75878,4.4852,4.22796,3.98365,3.74219,3.49842,3.38238,3.28302,3.22206,3.17258,3.16513,3.15696,3.15579,3.15533,3.1552,3.15533,3.15519
11.4432,10.6134,10.1971,9.79368,9.41313,9.05299,8.37984,7.76772,7.21076,6.70197,6.23866,5.82154,5.44391,5.09608,4.77135,4.46821,4.18146,3.90812,3.64431,3.3801,3.11098,2.98199,2.87123,2.80223,2.74326,2.73304,2.72352,2.72226,2.72161,2.72148,2.7215,2.72139
11.6442,10.7216,10.2642,9.82262,9.40866,9.01932,8.29676,7.64533,7.05734,6.52569,6.04581,5.61812,5.23299,4.87921,4.54802,4.23704,3.94249,3.65941,3.3837,3.10577,2.82143,2.68415,2.56466,2.48779,2.41985,2.40726,2.39606,2.39462,2.39378,2.39365,2.39359,2.39349
