10.1747,9.66449,9.41665,9.17419,8.94131,8.71741,8.29199,7.89602,7.52799,7.18743,6.87391,6.58632,6.32266,6.08024,5.85577,5.64768,5.45705,5.28291,5.1228,4.96535,4.80154,4.72169,4.65221,4.60709,4.55637,4.53963,4.5193,4.51657,4.51589,4.51586,4.51591,4.51572
10.6326,9.99468,9.69106,9.39534,9.11364,8.84489,8.33898,7.87461,7.44904,7.06031,6.70726,6.38694,6.09562,5.82888,5.58083,5.34774,5.13074,4.92915,4.74089,4.55807,4.3748,4.28561,4.20205,4.14035,4.07418,4.05918,4.05527,4.05538,4.05371,4.05339,4.05309,4.05303
11.0707,10.3683,10.0027,9.63865,9.27843,8.92686,8.27055,7.69937,7.20696,6.77871,6.40046,6.05752,5.73201,5.41614,5.11851,4.84501,4.59265,4.35434,4.12453,3.91051,3.71496,3.61951,3.52284,3.44559,3.3723,3.35616,3.34892,3.34818,3.34658,3.34625,3.34613,3.34582
11.4505,10.4957,10.0641,9.64752,9.25763,8.89184,8.21638,7.61233,7.07374,6.59235,6.16025,5.77114,5.41838,5.0943,4.78905,4.49624,4.21713,3.95492,3.71091,3.48115,3.26471,3.16254,3.06357,2.98762,2.91269,2.89336,2.87592,2.87378,2.87241,2.87221,2.8721,2.872
11.6578,10.6067,10.1401,9.69075,9.27204,8.8811,8.16375,7.52645,6.96044,6.45491,5.9993,5.58685,5.2116,4.86693,4.54459,4.23897,3.95,3.67826,3.42412,3.18423,2.95814,2.85142,2.74859,2.67013,2.59259,2.57252,2.5539,2.55155,2.55011,2.54993,2.54981,2.55014
11.807,10.6865,10.1959,9.7241,9.28555,8.87724,8.13112,7.47139,6.88638,6.36334,5.89021,5.46012,5.0678,4.70758,4.37265,4.05809,3.76257,3.48461,3.22335,2.97687,2.7446,2.63448,2.52745,2.44496,2.36435,2.34427,2.32737,2.32526,2.32363,2.32346,2.32327,2.32388
12.0112,10.7994,10.2795,9.78017,9.31734,8.88778,8.10668,7.42047,6.81299,6.269,5.77486,5.32387,4.91133,4.53238,4.18145,3.85416,3.54815,3.2602,2.98797,2.73072,2.48677,2.36988,2.25535,2.16623,2.07944,2.05853,2.04303,2.04118,2.03935,2.03916,2.03892,2.03913
12.1456,10.8801,10.3445,9.83062,9.355,8.91442,8.11556,7.41593,6.79743,6.24355,5.74012,5.28027,4.85911,4.47149,4.11151,3.77467,3.45885,3.16139,2.87974,2.61153,2.35426,2.22967,2.10784,2.01312,1.91963,1.8967,1.87923,1.87721,1.87535,1.87512,1.8749,1.87425
12.3271,11.0094,10.4629,9.93859,9.45355,9.00512,8.19491,7.48391,6.85525,6.29286,5.78318,5.31856,4.89276,4.49886,4.12866,3.77663,3.44219,3.12525,2.82372,2.53011,2.23858,2.09258,1.94629,1.82976,1.71479,1.68566,1.66201,1.65924,1.65702,1.6567,1.65648,1.65584
12.4026,11.0834,10.5432,10.0245,9.544,9.09946,8.2954,7.58571,6.95629,6.39312,5.88431,5.42173,4.998,4.60474,4.23177,3.87239,3.52684,3.19636,2.87889,2.56385,2.24038,2.07245,1.89598,1.74944,1.60904,1.57481,1.54731,1.54385,1.54082,1.54051,1.54017,1.54151
