1,1.14237,1.30499,1.30501,1.5,2,3,4,5,6,8,10,15,20,30,40,50,60,80,100,150,200,300,400,500,600,800,1000,1250,1500,2000,3000,4000,5000,6000,8000,10000,15000,20000
1605.15,1126.476,788.22,9472.56,6966.96,3361.68,1145.79,517.476,275.442,163.2294,70.6614,36.627,11.06292,4.80762,1.619244,0.849294,0.572808,0.44718,0.339474,0.293364,0.242556,0.21663,0.18531,0.1651608,0.1504578,0.1389912,0.1219392,0.1095504,0.0979446,0.0892446,0.0770124,0.0628662,0.0549666,0.0499902,0.0466494,0.042543,0.0402462,0.0377232,0.0370098
